SIDT,TNNU,STNU,HOUR,SPEC,ANGL,RADL,PERP,GPSZ,MVST,SBMV,FSAG,TWAW,HABT,GPRP
4,2,7,8,EGK,90,35,35,9,0,0,0,0,,15
4,2,8,8,RNW,100,34,33,2,0,0,0,0,,45
4,2,8,8,RNW,114,45,41,2,0,0,0,0,,45
4,2,9,8,EGK,63,86,77,4,0,0,0,0,,75
4,2,9,8,EGK,66,88,80,4,0,0,0,0,,75
4,2,9,8,EGK,75,71,69,4,0,0,0,0,,75
4,2,9,8,EGK,70,70,66,4,0,0,0,0,,75
4,2,10,8,EGK,59,85,73,10,0,0,0,0,,85
4,2,10,8,EGK,53,85,68,10,0,0,0,0,,85
4,2,10,8,EGK,46,96,69,10,0,0,0,0,,85
4,2,10,8,EGK,46,98,70,10,0,0,0,0,,85
4,2,10,8,EGK,46,100,72,10,0,0,0,0,,85
4,2,10,8,EGK,77,105,102,10,0,0,0,0,,85
4,2,10,8,EGK,77,105,102,10,0,0,0,0,,85
4,2,10,8,EGK,37,108,65,10,0,0,0,0,,85
4,2,10,8,EGK,44,100,69,10,0,0,0,0,,85
4,2,10,8,EGK,44,100,69,10,0,0,0,0,,85
4,2,11,8,EGK,47,5,4,2,0,0,0,0,,15
4,2,11,8,EGK,69,10,9,2,0,0,0,0,,15
4,2,12,8,RNW,79,123,121,1,0,0,0,0,,115
4,2,13,8,RNW,55,230,188,1,1,0,3,0,,225
4,2,14,8,EGK,55,230,188,3,1,0,3,0,,225
4,2,14,8,EGK,55,230,188,3,1,0,3,0,,225
4,2,14,8,EGK,55,230,188,3,1,0,3,0,,225
4,2,15,8,EGK,105,200,193,2,0,0,0,0,,195
4,2,15,8,EGK,103,200,195,2,0,0,0,0,,195
4,2,16,8,EGK,6,68,7,5,0,0,0,0,,15
4,2,16,8,EGK,7,70,9,5,0,0,0,0,,15
4,2,16,8,EGK,7,70,9,5,0,0,0,0,,15
4,2,16,8,EGK,25,37,16,5,0,0,0,0,,15
4,2,16,8,EGK,45,30,21,5,0,0,0,0,,15
4,2,17,9,RNW,80,175,172,1,0,0,0,0,,175
4,2,18,9,RNW,84,165,164,1,0,0,0,0,,185
4,2,19,9,RNW,53,118,94,1,1,1,3,0,,115
4,2,20,9,RNW,119,31,27,1,0,1,1,0,,35
4,7,1,15,RNW,56,84,70,2,0,0,0,0,,75
4,7,1,15,RNW,53,84,67,2,0,0,0,0,,75
4,7,2,15,RNW,22,83,31,4,0,1,2,1,,25
4,7,2,15,RNW,30,80,40,4,0,1,1,0,,25
4,7,2,15,RNW,29,25,12,4,0,1,2,0,,25
4,7,2,15,RNW,29,35,17,4,0,1,2,0,,25
4,7,3,15,EGK,65,80,73,1,0,1,1,1,,95
4,7,4,16,EGK,12,85,18,2,0,1,2,0,,15
4,7,4,16,EGK,12,85,18,2,0,1,2,0,,15
4,7,5,16,EGK,103,84,82,6,0,1,1,0,,85
4,7,5,16,EGK,90,84,84,6,0,1,1,0,,85
4,7,5,16,EGK,91,84,84,6,0,1,1,0,,85
4,7,5,16,EGK,91,84,84,6,0,1,1,0,,85
4,7,5,16,EGK,92,84,84,6,0,1,1,0,,85
4,7,5,16,EGK,93,84,84,6,0,1,1,0,,85
4,8,1,16,EGK,28,140,66,7,0,9,9,9,,55
