"covered","p","phat","CV.phat","interval","lower.bound","upper.bound","phat.bias.percent","n","N","Nhat","Nhat.bias.percent"
FALSE,0.749073233943494,0.875542044645327,0.0752926962700098,0.95,0.755576252132985,1.01455527457049,16.8833706733904,30,30,34.2644881344935,14.2149604483117
TRUE,0.749073233943494,0.569823496195848,0.21524273217097,0.95,0.375487790836987,0.864738680565579,-23.9295344734167,30,30,52.6478816691143,75.4929388970475
TRUE,0.749073233943494,0.793064658273888,0.12260048556132,0.95,0.624223134870675,1.00757488319202,5.87278016847574,30,30,37.827937088125,26.0931236270834
TRUE,0.749073233943494,0.833628093941271,0.0879513531583822,0.95,0.701862741450912,0.990130630914477,11.287929693154,30,30,35.9872708442015,19.9575694806718
TRUE,0.749073233943494,0.791110771868663,0.112946144762972,0.95,0.634456534695988,0.986444648515635,5.61193966361098,30,30,37.9213645759591,26.4045485865304
TRUE,0.749073233943494,0.714634684396033,0.146278508769608,0.95,0.537316341191883,0.950469384588174,-4.59748766701486,30,30,41.9794905775588,39.9316352585295
TRUE,0.749073233943494,0.697621334103906,0.181200420220808,0.95,0.490484957636625,0.992233336047518,-6.86874093320891,30,30,43.0032720236903,43.3442400789677
TRUE,0.749073233943494,0.756797396171249,0.120424643808637,0.95,0.59819493575498,0.957450932159306,1.03116249222925,30,30,39.6407283531557,32.1357611771856
TRUE,0.749073233943494,0.605914165346725,0.291311959781875,0.95,0.346320207310021,1.06009400554316,-19.1114916552429,30,30,49.5119634359975,65.0398781199917
TRUE,0.749073233943494,0.752421825730584,0.11995032025224,0.95,0.595283595635636,0.951040156299335,0.447031296187261,30,30,39.8712517022891,32.9041723409636
TRUE,0.749073233943494,0.827503631828395,0.102498246652141,0.95,0.677253251716338,1.01108744617145,10.4703244397085,30,30,36.2536173209465,20.8453910698216
TRUE,0.749073233943494,0.709713787588544,0.150457201623074,0.95,0.529334102692888,0.951560947482562,-5.25441900356567,30,30,42.2705610693201,40.901870231067
TRUE,0.749073233943494,0.569988246750617,0.29134246593282,0.95,0.325767831011799,0.997294915292217,-23.9075405551585,30,30,52.632664218997,75.4422140633233
TRUE,0.749073233943494,0.675712988563719,0.158566969859134,0.95,0.49616585518707,0.920232696668668,-9.79346772191688,30,30,44.3975482308951,47.991827436317
TRUE,0.749073233943494,0.59491204821824,0.198551870260221,0.95,0.404646831744928,0.874640099340548,-20.5802555397252,30,30,50.4276221835646,68.0920739452155
TRUE,0.749073233943494,0.718021807815981,0.138953724624508,0.95,0.547551591462522,0.941564821539959,-4.14531246351479,30,30,41.7814607765905,39.2715359219682
TRUE,0.749073233943494,0.841027801650092,0.083747189262936,0.95,0.713919320594094,0.990767083540724,12.2757780601107,30,30,35.6706400681882,18.9021335606274
FALSE,0.749073233943494,0.883622869302972,0.0627977431189062,0.95,0.781386670792396,0.999235595308308,17.9621469921093,30,30,33.9511357641353,13.1704525471178
TRUE,0.749073233943494,0.646187347907104,0.180122659469624,0.95,0.455260495404648,0.917184980489203,-13.7350904256381,30,30,46.4261643270564,54.7538810901881
TRUE,0.749073233943494,0.81604558278063,0.0959151870019475,0.95,0.676484899573244,0.984398016268915,8.94069442109944,30,30,36.7626522746152,22.5421742487173
TRUE,0.749073233943494,0.601299727918361,0.227313533299606,0.95,0.387287281456662,0.933574067898106,-19.7275111870145,30,30,49.8919234569704,66.3064115232348
TRUE,0.749073233943494,0.772339446220351,0.166109816849855,0.95,0.558954319850202,1.06718599177804,3.10599968368532,30,30,38.8430244587571,29.476748195857
FALSE,0.749073233943494,0.905666959788661,0.0544145594067166,0.95,0.814113578810393,1.00751622795849,20.9049954996762,30,30,33.124759245938,10.4158641531267
TRUE,0.749073233943494,0.651656091658363,0.16952636134581,0.95,0.468530965755181,0.906355594044869,-13.0050224558524,30,30,46.0365526909365,53.455175636455
TRUE,0.749073233943494,0.789967760862395,0.105788628323265,0.95,0.642410075566853,0.971418548582529,5.45934964243897,30,30,37.9762333177363,26.5874443924543
TRUE,0.749073233943494,0.649120099431723,0.195752143814822,0.95,0.443878844470528,0.949261062416383,-13.3435730957264,30,30,46.216408991593,54.0546966386433
FALSE,0.749073233943494,0.934361066729761,0.0399987810766207,0.95,0.863935491743912,1.01052753517292,24.7356098696544,30,30,32.107502193985,7.0250073132835
TRUE,0.749073233943494,0.653071329138212,0.197077337897155,0.95,0.445454696044706,0.957453507010615,-12.8160906644442,30,30,45.9367892318712,53.1226307729039
TRUE,0.749073233943494,0.848833971827661,0.0816614640967523,0.95,0.723482208430347,0.995904395896544,13.3178884738647,30,30,35.3426005505007,17.8086685016691
FALSE,0.749073233943494,0.924957361927442,0.0450230729870097,0.95,0.846871278629206,1.01024340177011,23.4802313063579,30,30,32.4339274812468,8.11309160415594
TRUE,0.749073233943494,0.628072202534935,0.187651680416342,0.95,0.436174343004148,0.904396826461966,-16.1534314571019,30,30,47.7652089662913,59.2173632209709
TRUE,0.749073233943494,0.72242030555635,0.137810950892615,0.95,0.55212365273727,0.945243144887462,-3.55812051203991,30,30,41.5270719403387,38.4235731344622
TRUE,0.749073233943494,0.740675018659717,0.13275698099558,0.95,0.571633872345851,0.959704296414851,-1.12114742634244,30,30,40.503593673628,35.0119789120933
TRUE,0.749073233943494,0.801606807602651,0.100746918234388,0.95,0.658297007176528,0.976114834170289,7.01314254450049,30,30,37.4248318695301,24.7494395651004
